session_id,participant_id,enumerator_id,treatment_group,language,currency_rate,app_version,round_index,is_practice,dose,fertilizer_used,savings,rain_outcome,rain_seed,rain_draw,price_outcome,price_seed,price_draw,yield,price_level,revenue,decision_start_time,decision_end_time,decision_duration_ms,dose_trajectory_json
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,6,false,10,true,15,drought,2-r6-rain,0.9732183932942823,low,2-r6-price,0.9956437084437086,2,0.6,15,2026-06-05T12:00:41.766Z,2026-06-05T12:00:48.303Z,6536.700000000186,"[{""t"":159107.69999999925,""value"":1},{""t"":160414.7999999998,""value"":2},{""t"":160661.2999999998,""value"":3},{""t"":160904.59999999963,""value"":4},{""t"":161073.7999999998,""value"":5},{""t"":161434.59999999963,""value"":6},{""t"":161580.2999999998,""value"":7},{""t"":161782,""value"":8},{""t"":162038.59999999963,""value"":9},{""t"":162273.89999999944,""value"":10}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,7,false,7,true,18,good,2-r7-rain,0.03852359817917051,mid,2-r7-price,0.33628275230102855,24.054,1,30.054,2026-06-05T12:00:53.023Z,2026-06-05T12:00:56.583Z,3560,"[{""t"":169706.59999999963,""value"":1},{""t"":170245.69999999925,""value"":2},{""t"":170412.19999999925,""value"":3},{""t"":170568.59999999963,""value"":4},{""t"":170731.7999999998,""value"":5},{""t"":171106.59999999963,""value"":6},{""t"":171263.5,""value"":7}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,8,false,4,true,21,good,2-r8-rain,0.3195229438969949,high,2-r8-price,0.243481955685877,19.728,1.6,33.3648,2026-06-05T12:01:00.561Z,2026-06-05T12:01:03.321Z,2760,"[{""t"":177762.2999999998,""value"":1},{""t"":177918.59999999963,""value"":2},{""t"":178065.89999999944,""value"":3},{""t"":178190.39999999944,""value"":4}]"
9ea02581-3d36-4363-a865-18cf05b328bd,2,4,,en,5,0.3.0-v2,9,false,2,true,23,good,2-r9-rain,0.3484180862980674,low,2-r9-price,0.7792710530665375,16.144,0.6,25.4864,2026-06-05T12:01:08.049Z,2026-06-05T12:01:12.228Z,4178.200000000186,"[{""t"":185142.7999999998,""value"":1},{""t"":185665.89999999944,""value"":2}]"
1fb2e2e4-511d-465a-9c24-c7bd6d3948ea,5,4,,en,5,0.3.0-v2,practice,true,4,true,21,good,5-rpractice-rain,0.32162598228867667,low,5-rpractice-price,0.9467979791031103,19.728,0.6,25.6368,2026-06-05T12:11:50.729Z,2026-06-05T12:11:56.942Z,6212.5,"[{""t"":31808.700000000186,""value"":1},{""t"":32016,""value"":2},{""t"":32250.60000000056,""value"":3},{""t"":32493.300000000745,""value"":4}]"
1fb2e2e4-511d-465a-9c24-c7bd6d3948ea,5,4,,en,5,0.3.0-v2,0,false,8,true,17,good,5-r0-rain,0.6703089682901195,high,5-r0-price,0.051774071372070275,25.216,1.6,38.1456,2026-06-05T12:12:03.869Z,2026-06-05T12:12:09.362Z,5492.700000000186,"[{""t"":44780.5,""value"":1},{""t"":45010.5,""value"":2},{""t"":45210.800000000745,""value"":3},{""t"":45377,""value"":4},{""t"":45578.5,""value"":5},{""t"":45808.800000000745,""value"":6},{""t"":46230.10000000056,""value"":7},{""t"":46452.700000000186,""value"":8}]"
1fb2e2e4-511d-465a-9c24-c7bd6d3948ea,5,4,,en,5,0.3.0-v2,1,false,6,true,19,good,5-r1-rain,0.38978109998096827,mid,5-r1-price,0.275423338587917,22.752,1,29.752,2026-06-05T12:12:14.466Z,2026-06-05T12:12:23.859Z,9392.799999999814,"[{""t"":57763.40000000037,""value"":1},{""t"":59385.5,""value"":2},{""t"":59612.300000000745,""value"":3},{""t"":59804.10000000056,""value"":4},{""t"":60002.60000000056,""value"":5},{""t"":60202.5,""value"":6}]"
1fb2e2e4-511d-465a-9c24-c7bd6d3948ea,5,4,,en,5,0.3.0-v2,2,false,0,false,25,normal,5-r2-rain,0.40067163639221526,mid,5-r2-price,0.5506305436379033,8,1,25,2026-06-05T12:12:55.331Z,2026-06-05T12:12:57.904Z,2573.0999999996275,[]
1fb2e2e4-511d-465a-9c24-c7bd6d3948ea,5,4,,en,5,0.3.0-v2,3,false,10,true,15,normal,5-r3-rain,0.8642007116388746,low,5-r3-price,0.7744563489513063,18.8,0.6,21.48,2026-06-05T12:13:03.226Z,2026-06-05T12:13:09.265Z,6039.5,"[{""t"":103735.70000000019,""value"":1},{""t"":103953.30000000075,""value"":2},{""t"":104177.60000000056,""value"":3},{""t"":105274.40000000037,""value"":4},{""t"":105633.40000000037,""value"":5},{""t"":105830.10000000056,""value"":6},{""t"":106029.60000000056,""value"":7},{""t"":106219,""value"":8},{""t"":106413.30000000075,""value"":9},{""t"":106614.20000000019,""value"":10}]"
1fb2e2e4-511d-465a-9c24-c7bd6d3948ea,5,4,,en,5,0.3.0-v2,4,false,2,true,23,good,5-r4-rain,0.37931222492357103,low,5-r4-price,0.8086940080057615,16.144,0.6,25.4864,2026-06-05T12:13:14.260Z,2026-06-05T12:13:20.040Z,5779.799999999814,"[{""t"":117040.80000000075,""value"":1},{""t"":117260.40000000037,""value"":2}]"
1fb2e2e4-511d-465a-9c24-c7bd6d3948ea,5,4,,en,5,0.3.0-v2,5,false,10,true,15,good,5-r5-rain,0.30143193830902854,low,5-r5-price,0.9533498364466835,27.119999999999997,0.6,24.071999999999996,2026-06-05T12:13:25.002Z,2026-06-05T12:13:32.472Z,7470,"[{""t"":127858.20000000019,""value"":1},{""t"":128086.40000000037,""value"":2},{""t"":128301.5,""value"":3},{""t"":128527.90000000037,""value"":4},{""t"":128718.40000000037,""value"":5},{""t"":128921.10000000056,""value"":6},{""t"":129119.80000000075,""value"":7},{""t"":129327.60000000056,""value"":8},{""t"":129535.10000000056,""value"":9},{""t"":129735.40000000037,""value"":10}]"
